ticker,price,tech_score,fund_score,vol_bonus,total_score,rel_vol,return_1w,return_1m,return_3m,pct_from_high,rs_vs_spy,revenue_growth,gross_margins,tech_signals,fund_signals
TRNO,69.4,9,7,0,16,1.14,3.1%,4.5%,7.1%,0.0%,-0.042,0.127,0.75905997,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
CAKE,82.76,8,6,1,15,1.07,4.5%,21.8%,41.5%,0.0%,0.302,0.056,0.40495,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
LEVI,24.31,8,6,1,15,1.98,-0.4%,3.1%,7.5%,-2.1%,-0.039,0.08,0.61717,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, rs_line_rising, bb_compressed","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
MFG,10.48,9,6,0,15,1.34,5.4%,9.5%,21.9%,0.0%,0.105,0.449,0.0,"base_tight, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
MRVI,6.09,8,6,0,14,0.78,0.8%,19.4%,95.8%,-4.7%,0.845,0.405,0.30121002,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
INVA,22.24,8,6,0,14,0.82,-0.3%,-1.3%,-8.1%,-8.3%,-0.194,0.106,0.74100995,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
KB,123.19,8,6,0,14,1.27,12.7%,20.5%,14.6%,0.0%,0.033,0.152,0.0,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders"
BNED,12.91,8,5,0,13,1.52,5.9%,21.4%,32.3%,-6.0%,0.21,0.113,0.20347,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, eps_positive, inst_holders"
PENG,78.35,8,5,0,13,2.06,27.5%,27.0%,242.9%,-3.7%,2.316,0.476,0.27924,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, eps_positive, inst_holders"
OPRT,6.01,8,5,0,13,0.95,1.9%,22.2%,24.2%,-15.4%,0.129,0.013,0.95122004,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders"
AZZ,146.45,8,4,0,12,1.52,-2.2%,1.8%,8.0%,-8.4%,-0.033,0.063,0.23807,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, rs_line_rising","revenue_positive, eps_beat, eps_positive, inst_holders"
BBIO,85.89,8,4,0,12,1.85,11.3%,26.9%,13.7%,-4.7%,0.024,0.668,0.95127,"within_high_75, price_above_ma150, ma150_rising, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, gross_margin_healthy, inst_holders"
