ticker,sector,industry,cap_label,price,tech_score,fund_score,vol_bonus,total_score,rel_vol,return_1w,return_1m,return_3m,pct_from_high,rs_vs_spy,revenue_growth,gross_margins,tech_signals,fund_signals,repeat
BWMN,Industrials,Engineering & Construction,Small,42.51,8,6,2,16,0.84,0.0%,-0.0%,39.6%,-4.3%,0.364,0.197,0.53357,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma50_cross_recent, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed, atr_contracted","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
BWIN,Financial,Insurance Brokers,Mid,32.02,9,6,0,15,5.51,8.9%,6.0%,84.8%,-1.4%,0.816,0.301,0.31261998,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
GFR,Energy,Oil & Gas E&P,Small,6.55,10,4,1,15,2.31,4.9%,2.6%,18.7%,-7.7%,0.156,0.219,0.31924,"base_tight, above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, revenue_positive, gross_margin_healthy, inst_holders",False
SMCI,Technology,Computer Hardware,Large,40.6,8,6,1,15,0.8,8.6%,8.5%,46.1%,-30.8%,0.43,0.932,0.108219996,"price_above_ma150, ma150_rising, ma_aligned, ma50_cross_recent, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, eps_positive, inst_holders",False
PUBM,Technology,Software - Application,Small,17.69,8,6,1,15,0.91,9.0%,1.9%,56.5%,-0.5%,0.534,0.105,0.6443,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
MG,Industrials,Security & Protection Services,Small,20.12,8,6,1,15,1.34,4.0%,10.5%,9.5%,0.0%,0.063,0.042,0.31558,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive, inst_holders",False
ECO,Industrials,Marine Shipping,Mid,86.88,9,6,0,15,1.65,19.1%,40.1%,85.8%,0.0%,0.826,2.394,0.72326,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive",False
FRO,Energy,Oil & Gas Midstream,Large,54.69,9,6,0,15,1.84,13.0%,25.7%,40.8%,0.0%,0.376,0.965,0.63033,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, rel_vol_high, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, gross_margin_healthy, eps_positive, inst_holders",False
CMBT,Energy,Oil & Gas Midstream,Mid,20.69,8,6,0,14,0.98,6.7%,18.3%,40.6%,0.0%,0.374,0.815,0.55969,"within_high_75, price_above_ma150, ma150_rising, ma_aligned, up_down_vol, last_vol_surge_up, rs_vs_spy, rs_line_rising","revenue_yoy_10pct, earnings_accelerating, revenue_positive, eps_beat, gross_margin_healthy, eps_positive",False
GMAB,Healthcare,Biotechnology,Large,34.45,8,5,1,14,0.89,6.9%,4.5%,35.7%,-2.5%,0.325,0.249,0.93027997,"above_low_20_80, within_high_75, price_above_ma150, ma150_rising, ma50_cross_recent, last_vol_surge_up, rs_vs_spy, rs_line_rising, bb_compressed","revenue_yoy_10pct, revenue_positive, eps_beat, gross_margin_healthy, eps_positive",False
