ticker,price,total_gain,w1,w2,w3,m1,m2,sector,industry,cap_label,is_etf,repeat
BWET,119.06,107.1%,3.6%,58.0%,26.5%,56.1%,71.9%,Financial,Exchange Traded Fund,Small,True,False
LCUT,4.93,56.0%,20.6%,20.7%,7.2%,6.4%,73.4%,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Small,False,False
CHCI,16.83,45.7%,2.2%,33.9%,6.5%,6.0%,62.3%,Real Estate,Real Estate Services,Small,False,False
RLMD,6.43,44.5%,32.8%,2.7%,5.9%,28.5%,52.6%,Healthcare,Biotechnology,Small,False,False
TROX,9.12,39.4%,6.7%,0.4%,30.1%,23.4%,31.6%,Basic Materials,Chemicals,Small,False,False
ETON,23.24,38.3%,12.7%,17.9%,4.1%,13.2%,45.3%,Healthcare,Drug Manufacturers - Specialty & Generic,Small,False,False
AGX,566.62,36.8%,10.6%,3.4%,19.6%,30.2%,20.7%,Industrials,Engineering & Construction,Mid,False,True
PBRG,46.41,36.7%,11.0%,1.7%,21.1%,15.7%,51.5%,Financial,Exchange Traded Fund,Small,True,False
CIEN,401.61,36.5%,14.7%,13.8%,4.6%,38.5%,11.3%,Technology,Communication Equipment,Large,False,False
FSLY,27.43,36.2%,22.0%,2.5%,8.8%,106.7%,52.0%,Technology,Software - Application,Mid,False,False
PARR,65.67,34.4%,10.1%,14.1%,7.0%,13.1%,46.8%,Energy,Oil & Gas Refining & Marketing,Mid,False,False
MEOH,65.22,31.4%,3.9%,8.0%,17.1%,5.9%,17.8%,Basic Materials,Chemicals,Mid,False,False
HOOZ,45.41,28.5%,8.9%,5.7%,11.6%,35.9%,7.3%,Financial,Exchange Traded Fund,Small,False,False
VIAV,34.64,24.2%,7.5%,4.9%,10.2%,21.5%,12.0%,Technology,Communication Equipment,Mid,False,False
VET,13.91,23.9%,4.2%,18.8%,0.1%,11.3%,27.9%,Energy,Oil & Gas E&P,Mid,False,False
IBTA,28.98,23.8%,0.0%,17.1%,5.7%,20.9%,20.0%,Technology,Software - Application,Small,False,False
DOW,40.82,22.7%,10.0%,0.1%,11.4%,11.5%,37.1%,Basic Materials,Chemicals,Large,False,False
ADEA,24.19,22.0%,14.7%,1.8%,4.5%,14.4%,16.1%,Technology,Software - Application,Mid,False,False
KRT,27.6,21.4%,18.4%,0.3%,2.2%,0.7%,15.3%,Consumer Cyclical,Packaging & Containers,Small,False,False
LYB,80.45,21.3%,9.0%,1.4%,9.7%,17.4%,40.1%,Basic Materials,Specialty Chemicals,Large,False,False
GRCE,4.67,21.0%,8.8%,5.2%,5.7%,18.2%,7.9%,Healthcare,Biotechnology,Small,False,False
